title,start_date,due_date
Roles Assignment and Kick Off,09/09/2025,16/09/2025
Stakeholder mapping,17/09/2025,23/09/2025
PD6,22/09/2025,28/09/2025
visiting LUMO office,26/09/2025,26/09/2025
Team Chronicles Documentation,29/09/2025,22/05/2026
Team Poster,01/10/2025,15/10/2025
Geology lab visit with Otto Hedstrom,05/10/2025,05/10/2025
Project Plan draft,08/10/2025,19/10/2025
Kickoff & Planning,20/10/2025,31/10/2025
Brush Design Concepts,27/10/2025,12/11/2025
Requirements Research,27/10/2025,12/11/2025
Frame Design & Review (LUMO),27/10/2025,12/11/2025
Needfinding and benchmarking,20/10/2025,12/11/2025
Steam cleaning equipment,27/10/2025,12/11/2025
LUMO visit - manual core cleaning,11/11/2025,11/11/2025
"Concept Design (Steam, Brush, Vision Modules)",16/11/2025,16/12/2025
Building prototype,05/01/2026,21/01/2026
Winter Holiday Break,17/12/2025,03/01/2026
Detailed Design & Simulation,04/01/2026,10/02/2026
Electronics workshop,12/01/2026,16/01/2026
Brush and steam solution prototype,05/01/2026,01/02/2026
Mid Way Gala,21/01/2026,21/01/2026
Analyze & Research System Design,02/02/2026,08/02/2026
Distance sensor system & CNC control planned,09/02/2026,15/02/2026
Brushes & cleaning effectiveness,09/02/2026,15/02/2026
CNC machine ordering assembly & documentation,09/02/2026,15/02/2026
Procurement & Parts Fabrication,11/02/2026,10/03/2026
System Assembly & Integration,11/03/2026,05/04/2026
Software & Image Recognition Development,11/03/2026,05/04/2026
Video Teaser,30/03/2026,15/04/2026
Brochure,30/03/2026,08/04/2026
Demo Day,01/04/2026,01/04/2026
Testing & Validation,06/04/2026,20/04/2026
Documents/Manuals/Instruction,10/04/2026,30/04/2026
Project Poster,13/04/2026,24/05/2026
Final Tuning & Report Writing,21/04/2026,30/04/2026
Final Gala Presentation,05/05/2026,05/05/2026
PDP Gala,08/05/2026,08/05/2026
Project Report,07/12/2025,07/12/2025
